"HPO","Ancestors","definition"
"HP:0005901","HP:0005901;HP:0002754;HP:0011843;HP:0000924;HP:0000118;HP:0000001;HP:0012649;HP:0012647;HP:0010978;HP:0002715","Chronic recurrent multifocal osteomyelitis"
"HP:0005905","HP:0005905;HP:0003319;HP:0000925;HP:0009121;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0010674","Abnormal cervical curvature"
"HP:0005906","HP:0005906;HP:0000264;HP:0000929;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0009121;HP:0011842;HP:0000924","Delayed pneumatization of the mastoid process"
"HP:0005910","HP:0005910;HP:0009182;HP:0004219;HP:0004213;HP:0004207;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0005918;HP:0009378;HP:0009774;HP:0009850;HP:0009833","Rhomboid or triangular shaped 5th finger middle phalanx"
"HP:0005912","HP:0005912;HP:0012440;HP:0001080;HP:0004297;HP:0001392;HP:0002012;HP:0025031;HP:0000118;HP:0000001","Biliary atresia"
"HP:0005913","HP:0005913;HP:0001163;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924;HP:0005924;HP:0003839;HP:0006505;HP:0002813;HP:0011844;HP:0011842;HP:0005930;HP:0011314","Abnormality of metacarpal epiphyses"
"HP:0005914","HP:0005914;HP:0005916;HP:0001163;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924;HP:0040065;HP:0002813;HP:0011844;HP:0011842;HP:0005927;HP:0006496;HP:0045060;HP:0009815;HP:0009115","Aplasia/Hypoplasia involving the metacarpal bones"
"HP:0005916","HP:0005916;HP:0001163;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924;HP:0040065;HP:0002813;HP:0011844;HP:0011842","Abnormal metacarpal morphology"
"HP:0005917","HP:0005917;HP:0001163;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924","Supernumerary metacarpal bones"
"HP:0005918","HP:0005918;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068","Abnormality of phalanx of finger"
"HP:0005920","HP:0005920;HP:0005918;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0005924;HP:0003839;HP:0006505;HP:0005930;HP:0011314","Abnormality of the epiphyses of the phalanges of the hand"
"HP:0005921","HP:0005921;na","Abnormal hand bone ossification"
"HP:0005922","HP:0005922;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001","Abnormal hand morphology"
"HP:0005923","HP:0005923;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0009809;HP:0000944;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0011314","Abnormalities of the metaphyses of the hand"
"HP:0005924","HP:0005924;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0003839;HP:0006505;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0005930;HP:0011314","Abnormality of the epiphyses of the hand"
"HP:0005925","HP:0005925;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0009808;HP:0006504;HP:0000940;HP:0011314;HP:0011844;HP:0011842;HP:0000924;HP:0002813;HP:0040068","Abnormalities of the diaphyses of the hand"
"HP:0005926","HP:0005926;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0003103;HP:0003330;HP:0011842;HP:0000924","Abnormality of hand cortical bone"
"HP:0005927","HP:0005927;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0006496;HP:0045060;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0009815;HP:0009115","Aplasia/hypoplasia involving bones of the hand"
"HP:0005928","HP:0005928;HP:0002991;HP:0002981;HP:0002814;HP:0040064;HP:0000118;HP:0000001;HP:0040066;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0040069;HP:0009138;HP:0100240;HP:0011729;HP:0001367;HP:0100491","Synostosis involving the fibula"
"HP:0005929","HP:0005929;HP:0002992;HP:0002981;HP:0002814;HP:0040064;HP:0000118;HP:0000001;HP:0040066;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0040069;HP:0009138;HP:0100240;HP:0011729;HP:0001367;HP:0100491","Synostosis involving the tibia"
"HP:0005930","HP:0005930;HP:0011314;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001","Abnormality of epiphysis morphology"
"HP:0005932","HP:0005932;HP:0011035;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001;HP:0100957","Abnormal renal corticomedullary differentiation"
"HP:0005934","HP:0005934;HP:0008777;HP:0025423;HP:0001600;HP:0002087;HP:0012252;HP:0002086;HP:0000118;HP:0000001","Imperfect vocal cord adduction"
"HP:0005938","HP:0005938;HP:0012253;HP:0012252;HP:0002086;HP:0000118;HP:0000001","Abnormal respiratory motile cilium morphology"
"HP:0005939","HP:0005939;HP:0002107;HP:0002088;HP:0012252;HP:0002086;HP:0000118;HP:0000001","Multiple bilateral pneumothoraces"
"HP:0005941","HP:0005941;HP:0004879;HP:0002883;HP:0002793;HP:0002795;HP:0002086;HP:0000118;HP:0000001","Intermittent hyperpnea at rest"
"HP:0005942","HP:0005942;HP:0006530;HP:0002088;HP:0012252;HP:0002086;HP:0000118;HP:0000001","Desquamative interstitial pneumonitis"
"HP:0005943","HP:0005943;HP:0002093;HP:0002795;HP:0002086;HP:0000118;HP:0000001","Respiratory arrest"
"HP:0005944","HP:0005944;HP:0006703;HP:0002088;HP:0012252;HP:0002086;HP:0000118;HP:0000001","Bilateral lung agenesis"
"HP:0005945","HP:0005945;HP:0025423;HP:0001600;HP:0002087;HP:0012252;HP:0002086;HP:0000118;HP:0000001","Laryngeal obstruction"
"HP:0005946","HP:0005946;HP:0004887;HP:0002093;HP:0002795;HP:0002086;HP:0000118;HP:0000001","Ventilator dependence with inability to wean"
"HP:0005947","HP:0005947;HP:0005957;HP:0002795;HP:0002086;HP:0000118;HP:0000001","Decreased sensitivity to hypoxemia"
"HP:0005948","HP:0005948;HP:0002088;HP:0012252;HP:0002086;HP:0000118;HP:0000001","Cystic lung disease"
"HP:0005949","HP:0005949;HP:0002104;HP:0002793;HP:0002795;HP:0002086;HP:0000118;HP:0000001","Apneic episodes in infancy"
"HP:0005950","HP:0005950;HP:0025423;HP:0001600;HP:0002087;HP:0012252;HP:0002086;HP:0000118;HP:0000001","Laryngeal web"
"HP:0005951","HP:0005951;HP:0005348;HP:0010307;HP:0030829;HP:0002795;HP:0002086;HP:0000118;HP:0000001","Progressive inspiratory stridor"
"HP:0005952","HP:0005952;HP:0002795;HP:0002086;HP:0000118;HP:0000001","Decreased pulmonary function"
"HP:0005954","HP:0005954;HP:0004930;HP:0002088;HP:0012252;HP:0002086;HP:0000118;HP:0000001;HP:0002597;HP:0001626;HP:0005306;HP:0001028;HP:0100742;HP:0011793;HP:0002664;HP:0007461","Pulmonary capillary hemangiomatosis"
"HP:0005956","HP:0005956;HP:0025423;HP:0001600;HP:0002087;HP:0012252;HP:0002086;HP:0000118;HP:0000001","Anteroposteriorly shortened larynx"
"HP:0005957","HP:0005957;HP:0002795;HP:0002086;HP:0000118;HP:0000001","Breathing dysregulation"
"HP:0005959","HP:0005959;HP:0011014;HP:0011013;HP:0001939;HP:0000118;HP:0000001","Impaired gluconeogenesis"
"HP:0005961","HP:0005961;HP:0010909;HP:0010902;HP:0004337;HP:0004354;HP:0001939;HP:0000118;HP:0000001","Hypoargininemia"
"HP:0005964","HP:0005964;HP:0002045;HP:0004370;HP:0001939;HP:0000118;HP:0000001","Intermittent hypothermia"
"HP:0005967","HP:0005967;HP:0001942;HP:0001941;HP:0004360;HP:0001939;HP:0000118;HP:0000001","Mixed respiratory and metabolic acidosis"
"HP:0005968","HP:0005968;HP:0004370;HP:0001939;HP:0000118;HP:0000001","Temperature instability"
"HP:0005972","HP:0005972;HP:0001941;HP:0004360;HP:0001939;HP:0000118;HP:0000001","Respiratory acidosis"
"HP:0005973","HP:0005973;HP:0011033;HP:0011013;HP:0001939;HP:0000118;HP:0000001","Fructose intolerance"
"HP:0005974","HP:0005974;HP:0001993;HP:0001941;HP:0004360;HP:0001939;HP:0000118;HP:0000001;HP:0001946","Episodic ketoacidosis"
"HP:0005976","HP:0005976;HP:0001942;HP:0001941;HP:0004360;HP:0001939;HP:0000118;HP:0000001","Hyperkalemic metabolic acidosis"
"HP:0005977","HP:0005977;HP:0001948;HP:0004360;HP:0001939;HP:0000118;HP:0000001","Hypochloremic metabolic alkalosis"
"HP:0005978","HP:0005978;HP:0000819;HP:0000818;HP:0000118;HP:0000001;HP:0011014;HP:0011013;HP:0001939","Type II diabetes mellitus"
"HP:0005979","HP:0005979;HP:0001942;HP:0001941;HP:0004360;HP:0001939;HP:0000118;HP:0000001;HP:0001993;HP:0001946","Metabolic ketoacidosis"
"HP:0005982","HP:0005982;HP:0010893;HP:0004338;HP:0004337;HP:0004354;HP:0001939;HP:0000118;HP:0000001","Reduced phenylalanine hydroxylase activity"
"HP:0005984","HP:0005984;HP:0006254;HP:0045056;HP:0010876;HP:0001939;HP:0000118;HP:0000001","Elevated maternal serum alpha-fetoprotein"
"HP:0005986","HP:0005986;HP:0000464;HP:0000152;HP:0000118;HP:0000001","Limitation of neck motion"
"HP:0005987","HP:0005987;HP:0005994;HP:0000853;HP:0011772;HP:0000820;HP:0000818;HP:0000118;HP:0000001","Multinodular goiter"
"HP:0005988","HP:0005988;HP:0011006;HP:0000464;HP:0000152;HP:0000118;HP:0000001;HP:0003011","Congenital muscular torticollis"
"HP:0005989","HP:0005989;HP:0000464;HP:0000152;HP:0000118;HP:0000001;HP:0001582;HP:0000973;HP:0008067;HP:0010647;HP:0011121;HP:0000951;HP:0001574","Redundant neck skin"
"HP:0005990","HP:0005990;HP:0008188;HP:0011772;HP:0000820;HP:0000818;HP:0000118;HP:0000001","Thyroid hypoplasia"
"HP:0005991","HP:0005991;HP:0005986;HP:0000464;HP:0000152;HP:0000118;HP:0000001","Limited neck flexion"
"HP:0005994","HP:0005994;HP:0000853;HP:0011772;HP:0000820;HP:0000818;HP:0000118;HP:0000001","Nodular goiter"
"HP:0005995","HP:0005995;HP:0003758;HP:0001001;HP:0009124;HP:0003549;HP:0000118;HP:0000001;HP:0011354;HP:0011121;HP:0000951;HP:0001574;HP:0040063","Decreased adipose tissue around neck"
"HP:0005997","HP:0005997;HP:0001371;HP:0003549;HP:0000118;HP:0000001;HP:0011729;HP:0001367;HP:0011842;HP:0000924;HP:0011805;HP:0003011;HP:0100261;HP:0005986;HP:0000464;HP:0000152","Restricted neck movement due to contractures"
"HP:0005999","HP:0005999;HP:0000069;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Ureteral atresia"
"HP:0006000","HP:0006000;HP:0000069;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Ureteral obstruction"
"HP:0006006","HP:0006006;HP:0001421;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0001446;HP:0009127;HP:0003011","Hypotrophy of the small hand muscles"
"HP:0006008","HP:0006008;HP:0001156;HP:0011927;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0040068;HP:0040064","Unilateral brachydactyly"
"HP:0006009","HP:0006009;HP:0005622;HP:0011314;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0040068;HP:0040064","Broad phalanx"
"HP:0006011","HP:0006011;HP:0010049;HP:0005914;HP:0005916;HP:0001163;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924;HP:0040065;HP:0002813;HP:0011844;HP:0011842;HP:0005927;HP:0006496;HP:0045060;HP:0009815;HP:0009115","Cuboidal metacarpal"
"HP:0006012","HP:0006012;HP:0005916;HP:0001163;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924;HP:0040065;HP:0002813;HP:0011844;HP:0011842","Widened metacarpal shaft"
"HP:0006014","HP:0006014;HP:0001191;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0003019;HP:0009810;HP:0001367;HP:0011842;HP:0000924","Abnormally shaped carpal bones"
"HP:0006016","HP:0006016;HP:0002663;HP:0005930;HP:0011314;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0010656;HP:0003336;HP:0011849;HP:0003330","Delayed phalangeal epiphyseal ossification"
"HP:0006019","HP:0006019;HP:0006261;HP:0005918;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068","Reduced proximal interphalangeal joint space"
"HP:0006026","HP:0006026;HP:0005924;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0003839;HP:0006505;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0005930;HP:0011314","Rounded epiphyses"
"HP:0006028","HP:0006028;HP:0003021;HP:0000944;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0040068;HP:0040064;HP:0011314","Metaphyseal cupping of metacarpals"
"HP:0006035","HP:0006035;HP:0010230;HP:0005920;HP:0005918;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0005924;HP:0003839;HP:0006505;HP:0005930;HP:0011314;HP:0010579","Cone-shaped epiphyses of phalanges 2 to 5"
"HP:0006040","HP:0006040;HP:0010036;HP:0005914;HP:0005916;HP:0001163;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924;HP:0040065;HP:0002813;HP:0011844;HP:0011842;HP:0005927;HP:0006496;HP:0045060;HP:0009815;HP:0009115;HP:0010010","Long second metacarpal"
"HP:0006042","HP:0006042;HP:0005916;HP:0001163;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924;HP:0040065;HP:0002813;HP:0011844;HP:0011842","Y-shaped metacarpals"
"HP:0006045","HP:0006045;HP:0009803;HP:0009767;HP:0005918;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068","Short pointed phalanges"
"HP:0006048","HP:0006048;HP:0005916;HP:0001163;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924;HP:0040065;HP:0002813;HP:0011844;HP:0011842","Distal widening of metacarpals"
"HP:0006051","HP:0006051;HP:0001163;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924;HP:0030313;HP:0003330;HP:0011842;HP:0040166","Metacarpal periosteal thickening"
"HP:0006055","HP:0006055;HP:0009487;HP:0001193;HP:0009484;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001","Ulnar deviated club hands"
"HP:0006059","HP:0006059;HP:0005913;HP:0001163;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924;HP:0005924;HP:0003839;HP:0006505;HP:0002813;HP:0011844;HP:0011842;HP:0005930;HP:0011314;HP:0010579","Cone-shaped metacarpal epiphyses"
"HP:0006060","HP:0006060;HP:0009834;HP:0005918;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068","Tombstone-shaped proximal phalanges"
"HP:0006064","HP:0006064;HP:0001376;HP:0011729;HP:0001367;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0006261;HP:0005918;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0011297;HP:0002813;HP:0011844;HP:0040068","Limited interphalangeal movement"
"HP:0006067","HP:0006067;HP:0006257;HP:0001191;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0003019;HP:0009810;HP:0001367;HP:0011842;HP:0000924;HP:0010660;HP:0003336;HP:0011849;HP:0003330","Multiple carpal ossification centers"
"HP:0006069","HP:0006069;HP:0001216;HP:0006257;HP:0001191;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0003019;HP:0009810;HP:0001367;HP:0011842;HP:0000924;HP:0010660;HP:0003336;HP:0011849;HP:0003330","Severe carpal ossification delay"
"HP:0006070","HP:0006070;HP:0011911;HP:0001163;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924","Metacarpophalangeal joint contracture"
"HP:0006077","HP:0006077;HP:0006109;HP:0006143;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068","Absent proximal finger flexion creases"
"HP:0006086","HP:0006086;HP:0005916;HP:0001163;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924;HP:0040065;HP:0002813;HP:0011844;HP:0011842","Thin metacarpal cortices"
"HP:0006088","HP:0006088;HP:0010554;HP:0006101;HP:0001159;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0040068;HP:0040064;HP:0012725","1-5 finger complete cutaneous syndactyly"
"HP:0006089","HP:0006089;HP:0000975;HP:0007550;HP:0025276;HP:0001574;HP:0000118;HP:0000001;HP:0040211;HP:0011356;HP:0011121;HP:0000951;HP:0100871;HP:0001155;HP:0002817;HP:0040064","Palmar hyperhidrosis"
"HP:0006092","HP:0006092;HP:0001191;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0003019;HP:0009810;HP:0001367;HP:0011842;HP:0000924","Malaligned carpal bone"
"HP:0006094","HP:0006094;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0001382;HP:0011729;HP:0001367;HP:0006256","Finger joint hypermobility"
"HP:0006095","HP:0006095;HP:0006200;HP:0006009;HP:0005622;HP:0011314;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0040068;HP:0040064","Wide tufts of distal phalanges"
"HP:0006097","HP:0006097;HP:0006101;HP:0001159;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0040068;HP:0040064","3-4 finger syndactyly"
"HP:0006099","HP:0006099;HP:0011911;HP:0001163;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924","Metacarpophalangeal joint hyperextensibility"
"HP:0006101","HP:0006101;HP:0001159;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0040068;HP:0040064","Finger syndactyly"
"HP:0006106","HP:0006106;HP:0004256;HP:0001191;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0003019;HP:0009810;HP:0001367;HP:0011842;HP:0000924","Absent trapezoid bone"
"HP:0006107","HP:0006107;HP:0100585;HP:0001009;HP:0011276;HP:0002597;HP:0001626;HP:0000118;HP:0000001;HP:0011354;HP:0011121;HP:0000951;HP:0001574","Fingerpad telangiectases"
"HP:0006108","HP:0006108;HP:0005916;HP:0001163;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924;HP:0040065;HP:0002813;HP:0011844;HP:0011842","Tapered metacarpals"
"HP:0006109","HP:0006109;HP:0006143;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068","Absent phalangeal crease"
"HP:0006110","HP:0006110;HP:0005819;HP:0009381;HP:0005922;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0006265;HP:0001167;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0005927;HP:0006496;HP:0045060;HP:0009815;HP:0009115;HP:0011927;HP:0009803;HP:0009767;HP:0005918;HP:0009843;HP:0009833","Shortening of all middle phalanges of the fingers"
"HP:0006112","HP:0006112;HP:0009768;HP:0001500;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0005918;HP:0006009;HP:0005622;HP:0011314;HP:0040065;HP:0040070","Expanded phalanges with widened medullary cavities"
"HP:0006114","HP:0006114;HP:0010490;HP:0001018;HP:0007477;HP:0011356;HP:0011121;HP:0000951;HP:0001574;HP:0000118;HP:0000001;HP:0040211;HP:0100871;HP:0001155;HP:0002817;HP:0040064","Multiple palmar creases"
"HP:0006118","HP:0006118;HP:0009882;HP:0009381;HP:0005922;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0006265;HP:0001167;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0005927;HP:0006496;HP:0045060;HP:0009815;HP:0009115;HP:0011927;HP:0009803;HP:0009767;HP:0005918;HP:0009835;HP:0009832","Shortening of all distal phalanges of the fingers"
"HP:0006119","HP:0006119;HP:0005916;HP:0001163;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924;HP:0040065;HP:0002813;HP:0011844;HP:0011842","Proximal tapering of metacarpals"
"HP:0006121","HP:0006121;HP:0007460;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0001218;HP:0200042;HP:0011355;HP:0011121;HP:0000951;HP:0001574","Acral ulceration leading to autoamputation of digits"
"HP:0006127","HP:0006127;HP:0006155;HP:0005918;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0009834","Long proximal phalanx of finger"
"HP:0006129","HP:0006129;HP:0009832;HP:0005918;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068","Drumstick terminal phalanges"
"HP:0006134","HP:0006134;HP:0005913;HP:0001163;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924;HP:0005924;HP:0003839;HP:0006505;HP:0002813;HP:0011844;HP:0011842;HP:0005930;HP:0011314;HP:0010580","Enlarged metacarpal epiphyses"
"HP:0006135","HP:0006135;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001","Decreased finger mobility"
"HP:0006136","HP:0006136;HP:0001162;HP:0001161;HP:0009997;HP:0004275;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0009142;HP:0005918;HP:0001167;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0010442;HP:0004207;HP:0100259","Bilateral postaxial polydactyly"
"HP:0006140","HP:0006140;HP:0005920;HP:0005918;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0005924;HP:0003839;HP:0006505;HP:0005930;HP:0011314;HP:0010656;HP:0003336;HP:0011849;HP:0003330","Premature fusion of phalangeal epiphyses"
"HP:0006143","HP:0006143;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068","Abnormal finger flexion creases"
"HP:0006144","HP:0006144;HP:0010241;HP:0009381;HP:0005922;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0006265;HP:0001167;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0005927;HP:0006496;HP:0045060;HP:0009815;HP:0009115;HP:0011927;HP:0009803;HP:0009767;HP:0005918;HP:0009851;HP:0009834","Shortening of all proximal phalanges of the fingers"
"HP:0006145","HP:0006145;HP:0006042;HP:0005916;HP:0001163;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924;HP:0040065;HP:0002813;HP:0011844;HP:0011842","Central Y-shaped metacarpal"
"HP:0006146","HP:0006146;HP:0005913;HP:0001163;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924;HP:0005924;HP:0003839;HP:0006505;HP:0002813;HP:0011844;HP:0011842;HP:0005930;HP:0011314","Broad metacarpal epiphyses"
"HP:0006147","HP:0006147;HP:0009773;HP:0005918;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068","Progressive fusion 2nd-5th pip joints"
"HP:0006149","HP:0006149;HP:0006094;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0001382;HP:0011729;HP:0001367;HP:0006256","Increased laxity of fingers"
"HP:0006150","HP:0006150;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068","Swan neck-like deformities of the fingers"
"HP:0006152","HP:0006152;HP:0009700;HP:0004278;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0100238;HP:0009810;HP:0001367;HP:0011842;HP:0000924;HP:0100240;HP:0011729;HP:0100262;HP:0009773;HP:0005918;HP:0001167;HP:0011297;HP:0002813;HP:0011844;HP:0040068;HP:0100264","Proximal symphalangism of hands"
"HP:0006153","HP:0006153;HP:0006014;HP:0001191;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0003019;HP:0009810;HP:0001367;HP:0011842;HP:0000924","Disharmonious carpal bone"
"HP:0006155","HP:0006155;HP:0005918;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068","Long phalanx of finger"
"HP:0006156","HP:0006156;HP:0009465;HP:0001193;HP:0009484;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0004097;HP:0001167;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068","Ulnar deviation of thumb"
"HP:0006157","HP:0006157;HP:0010490;HP:0001018;HP:0007477;HP:0011356;HP:0011121;HP:0000951;HP:0001574;HP:0000118;HP:0000001;HP:0040211;HP:0100871;HP:0001155;HP:0002817;HP:0040064","Prominent palmar flexion creases"
"HP:0006158","HP:0006158;na","obsolete Finger joint hyperextensibility"
