"term","is.a","def"
"HP:0007401","HP:0001105","Macular atrophy"
"HP:0007402","HP:0009123","Areas of hypopigmentation and hyperpigmentation that do not follow Blaschko lines"
"HP:0007403","HP:0100872","Hypertrophy of skin of soles"
"HP:0007404","HP:0000982","Nonepidermolytic palmoplantar keratoderma"
"HP:0007406","HP:0000492","Hyperpigmentation of eyelids"
"HP:0007406","HP:0007400","Hyperpigmentation of eyelids"
"HP:0007407","HP:0007392","Excessive skin wrinkling on dorsum of hands and fingers"
"HP:0007408","HP:0005386","Tegumentary leishmaniasis susceptibility"
"HP:0007410","HP:0006089","Palmoplantar hyperhidrosis"
"HP:0007410","HP:0100872","Palmoplantar hyperhidrosis"
"HP:0007411","HP:0008065","Hypoplastic-absent sebaceous glands"
"HP:0007412","HP:0001034","Macular hyperpigmented dermopathy"
"HP:0007413","HP:0001052","Nevus flammeus of the forehead"
"HP:0007414","HP:0100678","Neonatal wrinkled skin of hands and feet"
"HP:0007417","HP:0000988","Discoid lupus rash"
"HP:0007418","HP:0001596","Alopecia totalis"
"HP:0007420","HP:0001933","Spontaneous hematomas"
"HP:0007421","HP:0007380","Telangiectases of the cheeks"
"HP:0007425","HP:0007458","Hyperextensible skin of face"
"HP:0007427","HP:0001000","Reticulated skin pigmentation"
"HP:0007428","HP:0000228","Telangiectasia of the oral mucosa"
"HP:0007429","HP:0000957","Few cafe-au-lait spots"
"HP:0007430","HP:0000969","Generalized edema"
"HP:0007431","HP:0008064","Congenital ichthyosiform erythroderma"
"HP:0007432","HP:0200034","Intermittent generalized erythematous papular rash"
"HP:0007434","HP:0000329","Plaque-like facial hemangioma"
"HP:0007435","HP:0000982","Diffuse palmoplantar keratoderma"
"HP:0007436","HP:0000968","Hair-nail ectodermal dysplasia"
"HP:0007437","HP:0008069","Multiple cutaneous leiomyomas"
"HP:0007438","HP:0001070","Mottled pigmentation of the trunk and proximal extremities"
"HP:0007439","HP:0011368","Generalized keratosis follicularis"
"HP:0007440","HP:0000953","Generalized hyperpigmentation"
"HP:0007441","HP:0009123","Hyperpigmented/hypopigmented macules"
"HP:0007441","HP:0012733","Hyperpigmented/hypopigmented macules"
"HP:0007443","HP:0001010","Partial albinism"
"HP:0007446","HP:0040211","Palmoplantar blistering"
"HP:0007446","HP:0100872","Palmoplantar blistering"
"HP:0007447","HP:0000972","Diffuse palmoplantar hyperkeratosis"
"HP:0007448","HP:0000962","Hyperkeratosis over edematous areas"
"HP:0007448","HP:0000969","Hyperkeratosis over edematous areas"
"HP:0007449","HP:0020073","Confetti-like hypopigmented macules"
"HP:0007450","HP:0007400","Increased groin pigmentation with raindrop depigmentation"
"HP:0007450","HP:0009123","Increased groin pigmentation with raindrop depigmentation"
"HP:0007451","HP:0025276","Ipsilateral lack of facial sweating"
"HP:0007452","HP:0000996","Midface capillary hemangioma"
"HP:0007453","HP:0100725","Flexural lichenification"
"HP:0007455","HP:0007477","Adermatoglyphia"
"HP:0007456","HP:0007400","Progressive reticulate hyperpigmentation"
"HP:0007457","HP:0001015","Prominent veins on trunk"
"HP:0007458","HP:0000974","Focal hyperextensible skin"
"HP:0007459","HP:0025276","Generalized anhidrosis"
"HP:0007460","HP:0001155","Autoamputation of digits"
"HP:0007460","HP:0001218","Autoamputation of digits"
"HP:0007461","HP:0001028","Hemangiomatosis"
"HP:0007462","HP:0000502","Bitot spots of the conjunctiva"
"HP:0007464","HP:0008070","Sparse facial hair"
"HP:0007465","HP:0000982","Honeycomb palmoplantar keratoderma"
"HP:0007466","HP:0000996","Midfrontal capillary hemangioma"
"HP:0007468","HP:0000962","Perifollicular hyperkeratosis"
"HP:0007468","HP:0031285","Perifollicular hyperkeratosis"
"HP:0007469","HP:0007477","Palmoplantar cutis gyrata"
"HP:0007469","HP:0040211","Palmoplantar cutis gyrata"
"HP:0007469","HP:0100872","Palmoplantar cutis gyrata"
"HP:0007470","HP:0001482","Periarticular subcutaneous nodules"
"HP:0007471","HP:0009123","Axillary and groin hyperpigmentation and hypopigmentation"
"HP:0007473","HP:0011123","Crusting erythematous dermatitis"
"HP:0007475","HP:0007431","Congenital bullous ichthyosiform erythroderma"
"HP:0007476","HP:0000968","Anhidrotic ectodermal dysplasia"
"HP:0007477","HP:0011356","Abnormal dermatoglyphics"
"HP:0007479","HP:0007431","Congenital nonbullous ichthyosiform erythroderma"
"HP:0007480","HP:0000966","Decreased sweating due to autonomic dysfunction"
"HP:0007481","HP:0000995","Hyperpigmented nevi"
"HP:0007482","HP:0011354","Generalized papillary lesions"
"HP:0007483","HP:0001000","Depigmentation/hyperpigmentation of skin"
"HP:0007485","HP:0008887","Absence of subcutaneous fat"
"HP:0007486","HP:0001048","Cavernous hemangioma of the face"
"HP:0007488","HP:0004334","Diffuse skin atrophy"
"HP:0007489","HP:0001009","Diffuse telangiectasia"
"HP:0007490","HP:0000962","Linear arrays of macular hyperkeratoses in flexural areas"
"HP:0007494","HP:0007441","Discrete 2 to 5-mm hyper- and hypopigmented macules"
"HP:0007495","HP:0011354","Prematurely aged appearance"
"HP:0007497","HP:0000972","Focal friction-related palmoplantar hyperkeratosis"
"HP:0007499","HP:0002718","Recurrent staphylococcal infections"
"HP:0007500","HP:0000971","Decreased number of sweat glands"
"HP:0007501","HP:0000962","Streaks of hyperkeratosis along each finger onto the palm"
"HP:0007502","HP:0000962","Follicular hyperkeratosis"
"HP:0007503","HP:0008064","Generalized ichthyosis"
"HP:0007504","HP:0007488","Diffuse slow skin atrophy"
"HP:0007505","HP:0000953","Progressive hyperpigmentation"
"HP:0007506","HP:0007383","Congenital absence of skin of limbs"
"HP:0007508","HP:0010765","Punctate palmar hyperkeratosis"
"HP:0007509","HP:0009123","Patchy hypo- and hyperpigmentation"
"HP:0007510","HP:0008065","Focal dermal aplasia/hypoplasia"
"HP:0007511","HP:0001070","Mottled pigmentation of photoexposed areas"
"HP:0007513","HP:0001010","Generalized hypopigmentation"
"HP:0007514","HP:0000969","Edema of the dorsum of hands"
"HP:0007515","HP:0008065","Hypoplastic pilosebaceous units"
"HP:0007516","HP:0001582","Redundant skin on fingers"
"HP:0007517","HP:0000973","Palmoplantar cutis laxa"
"HP:0007517","HP:0007605","Palmoplantar cutis laxa"
"HP:0007517","HP:0100872","Palmoplantar cutis laxa"
"HP:0007521","HP:0007400","Irregular hyperpigmentation of back"
"HP:0007522","HP:0008067","Increased number of skin folds"
"HP:0007524","HP:0001067","Atypical neurofibromatosis"
"HP:0007525","HP:0001001","Yellow subcutaneous tissue covered by thin, scaly skin"
"HP:0007526","HP:0001053","Hypopigmented skin patches on arms"
"HP:0007529","HP:0000968","Hidrotic ectodermal dysplasia"
"HP:0007530","HP:0000972","Punctate palmoplantar hyperkeratosis"
"HP:0007534","HP:0011361","Congenital posterior occipital alopecia"
"HP:0007535","HP:0001010","Hypopigmented streaks"
"HP:0007536","HP:0004471","Aplasia cutis congenita of midline scalp vertex"
"HP:0007537","HP:0000992","Severe photosensitivity"
"HP:0007541","HP:0008069","Frontal cutaneous lipoma"
"HP:0007541","HP:0012032","Frontal cutaneous lipoma"
"HP:0007542","HP:0040007","Absent pigmentation of the ventral chest"
"HP:0007543","HP:0000962","Epidermal hyperkeratosis"
"HP:0007544","HP:0001010","Piebaldism"
"HP:0007545","HP:0000972","Congenital palmoplantar keratosis"
"HP:0007546","HP:0007400","Linear hyperpigmentation"
"HP:0007548","HP:0000972","Palmoplantar keratosis with erythema and scale"
"HP:0007549","HP:0011354","Desquamation of skin soon after birth"
"HP:0007550","HP:0025276","Hypohidrosis or hyperhidrosis"
"HP:0007552","HP:0001001","Abnormal subcutaneous fat tissue distribution"
"HP:0007553","HP:0000972","Congenital symmetrical palmoplantar keratosis"
"HP:0007554","HP:0001010","Confetti hypopigmentation pattern of lower leg skin"
"HP:0007556","HP:0000962","Plantar hyperkeratosis"
"HP:0007556","HP:0100872","Plantar hyperkeratosis"
"HP:0007559","HP:0008064","Localized epidermolytic hyperkeratosis"
"HP:0007560","HP:0005882","Unusual dermatoglyphics"
"HP:0007561","HP:0100585","Telangiectases in sun-exposed and nonexposed skin"
"HP:0007565","HP:0000957","Multiple cafe-au-lait spots"
"HP:0007566","HP:0005882","Index finger dermatoglyphic radial loop"
"HP:0007569","HP:0001051","Generalized seborrheic dermatitis"
"HP:0007570","HP:0000962","Hyperkeratosis lenticularis perstans"
"HP:0007572","HP:0007400","Hyperpigmented streaks"
"HP:0007573","HP:0001047","Late onset atopic dermatitis"
"HP:0007574","HP:0007440","Generalized bronze hyperpigmentation"
"HP:0007576","HP:0001067","Palmar neurofibromas"
"HP:0007576","HP:0045010","Palmar neurofibromas"
"HP:0007576","HP:0100871","Palmar neurofibromas"
"HP:0007581","HP:0007535","Mediosternal, longitudinal streak of hypopigmentation"
"HP:0007583","HP:0001009","Telangiectasia macularis eruptiva perstans"
"HP:0007585","HP:0001030","Skin fragility with non-scarring blistering"
"HP:0007586","HP:0100585","Telangiectases producing 'marbled' skin"
"HP:0007587","HP:0001000","Numerous pigmented freckles"
"HP:0007588","HP:0007400","Reticular hyperpigmentation"
"HP:0007589","HP:0001057","Aplasia cutis congenita on trunk or limbs"
"HP:0007590","HP:0004476","Aplasia cutis congenita over posterior parietal area"
"HP:0007592","HP:0011135","Aplasia/Hypoplastia of the eccrine sweat glands"
"HP:0007595","HP:0001582","Redundant skin in infancy"
"HP:0007596","HP:0001031","Painful subcutaneous lipomas"
"HP:0007597","HP:0000982","Congenital palmoplantar keratodermia"
"HP:0007598","HP:0000954","Bilateral single transverse palmar creases"
"HP:0007599","HP:0007440","Generalized reticulate brown pigmentation"
"HP:0007601","HP:0000996","Midline facial capillary hemangioma"
"HP:0007602","HP:0001018","Complex palmar dermatoglyphic pattern"
"HP:0007603","HP:0005586","Freckles in sun-exposed areas"
"HP:0007605","HP:0007392","Excessive wrinkling of palmar skin"
"HP:0007605","HP:0040211","Excessive wrinkling of palmar skin"
"HP:0007606","HP:0008069","Multiple cutaneous malignancies"
"HP:0007607","HP:0000968","Hypohidrotic ectodermal dysplasia"
"HP:0007608","HP:0001018","Abnormal palmar dermal ridges"
"HP:0007609","HP:0000969","Hypoproteinemic edema"
"HP:0007610","HP:0001000","Blotching pigmentation of the skin"
"HP:0007613","HP:0000972","Spinous keratoses of palms and soles"
"HP:0007616","HP:0001052","Nevus flammeus nuchae"
"HP:0007617","HP:0001000","Fine, reticulate skin pigmentation"
"HP:0007618","HP:0010766","Subcutaneous calcification"
"HP:0007618","HP:0011354","Subcutaneous calcification"
"HP:0007620","HP:0008069","Cutaneous leiomyoma"
"HP:0007621","HP:0100585","Telangiectasia of extensor surfaces"
"HP:0007623","HP:0001000","Pigmentation anomalies of sun-exposed skin"
"HP:0007626","HP:0000277","Mandibular osteomyelitis"
"HP:0007626","HP:0002754","Mandibular osteomyelitis"
"HP:0007627","HP:0005790","Mandibular condyle aplasia"
"HP:0007628","HP:0005790","Mandibular condyle hypoplasia"
"HP:0007633","HP:0000568","Bilateral microphthalmos"
"HP:0007634","HP:0001138","Nonarteritic anterior ischemic optic neuropathy"
"HP:0007641","HP:0000551","Dyschromatopsia"
"HP:0007642","HP:0000556","Congenital stationary night blindness"
"HP:0007642","HP:0000662","Congenital stationary night blindness"
"HP:0007643","HP:0007917","Peripheral tractional retinal detachment"
"HP:0007646","HP:0000561","Absent lower eyelashes"
"HP:0007647","HP:0008049","Congenital extraocular muscle anomaly"
"HP:0007648","HP:0010920","Punctate cataract"
"HP:0007649","HP:0011512","Congenital hypertrophy of retinal pigment epithelium"
"HP:0007650","HP:0000602","Progressive ophthalmoplegia"
"HP:0007651","HP:0000656","Ectropion of lower eyelids"
"HP:0007655","HP:0000656","Eversion of lateral third of lower eyelids"
"HP:0007656","HP:0008038","Lacrimal gland aplasia"
"HP:0007657","HP:0100018","Diffuse nuclear cataract"
"HP:0007658","HP:0011512","Large hyperpigmented retinal spots"
"HP:0007661","HP:0000532","Abnormality of chorioretinal pigmentation"
"HP:0007663","HP:0000505","Reduced visual acuity"
"HP:0007665","HP:0000499","Curly eyelashes"
"HP:0007667","HP:0007769","Peripheral cystoid retinal degeneration"
"HP:0007668","HP:0000617","Impaired pursuit initiation and maintenance"
"HP:0007670","HP:0001751","Abnormal vestibulo-ocular reflex"
"HP:0007675","HP:0000662","Progressive night blindness"
"HP:0007676","HP:0008053","Hypoplasia of the iris"
"HP:0007677","HP:0030500","Vitelliform-like macular lesions"
"HP:0007678","HP:0000579","Lacrimal duct stenosis"
"HP:0007680","HP:0007894","Depigmented fundus"
"HP:0007685","HP:0008046","Peripheral retinal avascularization"
"HP:0007686","HP:0012373","Abnormal pupillary function"
"HP:0007687","HP:0000508","Unilateral ptosis"
"HP:0007688","HP:0008323","Undetectable light- and dark-adapted electroretinogram"
"HP:0007690","HP:0200020","Map-dot-fingerprint corneal dystrophy"
"HP:0007695","HP:0007686","Abnormal pupillary light reflex"
"HP:0007697","HP:0430009","Hypoplasia of the lower eyelids"
"HP:0007700","HP:0004328","Ocular anterior segment dysgenesis"
"HP:0007703","HP:0000479","Abnormality of retinal pigmentation"
"HP:0007704","HP:0012547","Paroxysmal involuntary eye movements"
"HP:0007705","HP:0000481","Corneal degeneration"
"HP:0007707","HP:0008063","Congenital aphakia"
"HP:0007708","HP:0000561","Absent inner eyelashes"
"HP:0007709","HP:0001131","Band-shaped corneal dystrophy"
"HP:0007710","HP:0004327","Peripheral vitreous opacities"
"HP:0007715","HP:0000597","Weak extraocular muscles"
"HP:0007716","HP:0002861","Uveal melanoma"
"HP:0007716","HP:0100012","Uveal melanoma"
"HP:0007717","HP:0000509","Chronic irritative conjunctivitis"
"HP:0007720","HP:0100691","Flat cornea"
"HP:0007721","HP:0008054","Saccular conjunctival dilatations"
"HP:0007722","HP:0001105","Retinal pigment epithelial atrophy"
"HP:0007727","HP:0007957","Opacification of the corneal epithelium"
"HP:0007728","HP:0000616","Congenital miosis"
"HP:0007730","HP:0008034","Iris hypopigmentation"
"HP:0007731","HP:0000532","Chorioretinal dysplasia"
"HP:0007732","HP:0008038","Lacrimal gland hypoplasia"
"HP:0007733","HP:0000534","Laterally curved eyebrow"
"HP:0007734","HP:0011482","Enlarged lacrimal glands"
"HP:0007737","HP:0000580","Bone spicule pigmentation of the retina"
"HP:0007738","HP:0012547","Uncontrolled eye movements"
"HP:0007740","HP:0000527","Long eyelashes in irregular rows"
"HP:0007747","HP:0000666","Monocular horizontal nystagmus"
"HP:0007750","HP:0008060","Hypoplasia of the fovea"
"HP:0007754","HP:0000556","Macular dystrophy"
"HP:0007754","HP:0001103","Macular dystrophy"
"HP:0007755","HP:0200020","Juvenile epithelial corneal dystrophy"
"HP:0007759","HP:0007957","Opacification of the corneal stroma"
"HP:0007759","HP:0011492","Opacification of the corneal stroma"
"HP:0007760","HP:0007856","Crystalline corneal dystrophy"
"HP:0007761","HP:0000575","Pericentral scotoma"
"HP:0007763","HP:0001009","Retinal telangiectasia"
"HP:0007763","HP:0008046","Retinal telangiectasia"
"HP:0007765","HP:0000593","Deep anterior chamber"
"HP:0007766","HP:0008058","Optic disc hypoplasia"
"HP:0007768","HP:0000631","Central retinal vessel vascular tortuosity"
"HP:0007769","HP:0000546","Peripheral retinal degeneration"
"HP:0007770","HP:0008061","Hypoplasia of the retina"
"HP:0007772","HP:0000617","Impaired smooth pursuit"
"HP:0007773","HP:0004327","Vitreoretinopathy"
"HP:0007774","HP:0008055","Hypoplasia of the ciliary body"
"HP:0007774","HP:0012776","Hypoplasia of the ciliary body"
"HP:0007776","HP:0000653","Sparse lower eyelashes"
"HP:0007776","HP:0040052","Sparse lower eyelashes"
"HP:0007777","HP:0100699","Chorioretinal scar"
"HP:0007777","HP:0200065","Chorioretinal scar"
"HP:0007778","HP:0030666","Posterior retinal neovascularization"
"HP:0007779","HP:0008062","Anterior segment of eye aplasia"
"HP:0007780","HP:0010693","Cortical pulverulent cataract"
"HP:0007787","HP:0000523","Posterior subcapsular cataract"
"HP:0007791","HP:0007722","Patchy atrophy of the retinal pigment epithelium"
"HP:0007792","HP:0001152","Microsaccadic pursuit"
"HP:0007793","HP:0007814","Granular macular appearance"
"HP:0007793","HP:0008002","Granular macular appearance"
"HP:0007795","HP:0100019","Anterior cortical cataract"
"HP:0007797","HP:0008046","Retinal vascular malformation"
"HP:0007799","HP:0000502","Conjunctival whitish salt-like deposits"
"HP:0007800","HP:0001090","Increased axial length of the globe"
"HP:0007802","HP:0001131","Granular corneal dystrophy"
"HP:0007803","HP:0000551","Monochromacy"
"HP:0007807","HP:0000587","Optic nerve compression"
"HP:0007807","HP:0001293","Optic nerve compression"
"HP:0007809","HP:0001131","Punctate corneal dystrophy"
"HP:0007811","HP:0000666","Horizontal pendular nystagmus"
"HP:0007811","HP:0006934","Horizontal pendular nystagmus"
"HP:0007811","HP:0012043","Horizontal pendular nystagmus"
"HP:0007812","HP:0012804","Herpetiform corneal ulceration"
"HP:0007813","HP:0000554","Nongranulomatous uveitis"
"HP:0007814","HP:0007703","Retinal pigment epithelial mottling"
"HP:0007815","HP:0008046","Abnormal distribution of retinal arterioles and venules"
"HP:0007817","HP:0000605","Horizontal supranuclear gaze palsy"
"HP:0007818","HP:0001100","Central heterochromia"
"HP:0007819","HP:0000518","Presenile cataracts"
"HP:0007820","HP:0011479","Lacrimal punctal atresia"
"HP:0007822","HP:0001147","Central retinal exudate"
"HP:0007824","HP:0000602","Total ophthalmoplegia"
"HP:0007827","HP:0011494","Nodular corneal dystrophy"
"HP:0007830","HP:0000662","Adult-onset night blindness"
"HP:0007831","HP:0000544","Nonprogressive restrictive external ophthalmoplegia"
"HP:0007832","HP:0000591","Pigmentation of the sclera"
"HP:0007833","HP:0000593","Anterior chamber synechiae"
"HP:0007834","HP:0000518","Progressive cataract"
"HP:0007835","HP:0200005","S-shaped palpebral fissures"
"HP:0007836","HP:0001131","Mosaic corneal dystrophy"
"HP:0007838","HP:0000508","Progressive ptosis"
"HP:0007840","HP:0000527","Long upper eyelashes"
"HP:0007840","HP:0040051","Long upper eyelashes"
"HP:0007841","HP:0004327","Amyloid deposition in the vitreous humor"
"HP:0007843","HP:0008046","Attenuation of retinal blood vessels"
"HP:0007850","HP:0008046","Retinal vascular proliferation"
"HP:0007854","HP:0001123","Glaucomatous visual field defect"
"HP:0007856","HP:0007759","Punctate opacification of the cornea"
"HP:0007858","HP:0000532","Chorioretinal lacunae"
"HP:0007859","HP:0000666","Congenital horizontal nystagmus"
"HP:0007859","HP:0006934","Congenital horizontal nystagmus"
"HP:0007862","HP:0010766","Retinal calcification"
"HP:0007862","HP:0030506","Retinal calcification"
"HP:0007866","HP:0000479","Retinal infarction"
"HP:0007867","HP:0007936","Restrictive partial external ophthalmoplegia"
"HP:0007872","HP:0001028","Choroidal hemangioma"
"HP:0007872","HP:0025568","Choroidal hemangioma"
"HP:0007873","HP:0008048","Abnormally prominent line of Schwalbe"
"HP:0007874","HP:0200005","Almond-shaped palpebral fissure"
"HP:0007875","HP:0000618","Congenital blindness"
"HP:0007879","HP:0000509","Allergic conjunctivitis"
"HP:0007879","HP:0012393","Allergic conjunctivitis"
"HP:0007880","HP:0001131","Marginal corneal dystrophy"
"HP:0007881","HP:0011493","Central corneal dystrophy"
"HP:0007885","HP:0000514","Slowed horizontal saccades"
"HP:0007886","HP:0008049","Absent extraocular muscles"
"HP:0007889","HP:0007787","Iridescent posterior subcapsular cataract"
"HP:0007892","HP:0011479","Hypoplasia of the lacrimal punctum"
"HP:0007894","HP:0031605","Hypopigmentation of the fundus"
"HP:0007898","HP:0001147","Exudative retinopathy"
"HP:0007899","HP:0000541","Retinal nonattachment"
"HP:0007900","HP:0011481","Hypoplastic lacrimal duct"
"HP:0007902","HP:0004327","Vitreous hemorrhage"
"HP:0007902","HP:0011885","Vitreous hemorrhage"
"HP:0007903","HP:0000533","Paravenous chorioretinal atrophy"
"HP:0007905","HP:0000525","Abnormal iris vasculature"
"HP:0007905","HP:0008047","Abnormal iris vasculature"
"HP:0007906","HP:0012633","Ocular hypertension"
"HP:0007911","HP:0001488","Congenital bilateral ptosis"
"HP:0007911","HP:0007970","Congenital bilateral ptosis"
"HP:0007913","HP:0007963","Reticular retinal dystrophy"
"HP:0007915","HP:0011489","Polymorphous posterior corneal dystrophy"
"HP:0007915","HP:0011491","Polymorphous posterior corneal dystrophy"
"HP:0007917","HP:0000541","Tractional retinal detachment"
"HP:0007922","HP:0012447","Hypermyelinated retinal nerve fibers"
"HP:0007922","HP:0020119","Hypermyelinated retinal nerve fibers"
"HP:0007924","HP:0000529","Slow decrease in visual acuity"
"HP:0007925","HP:0011481","Lacrimal duct aplasia"
"HP:0007928","HP:0000649","Abnormal flash visual evoked potentials"
"HP:0007929","HP:0000541","Peripheral retinal detachment"
"HP:0007932","HP:0011499","Bilateral congenital mydriasis"
"HP:0007933","HP:0011229","Broad lateral eyebrow"
"HP:0007935","HP:0007787","Juvenile posterior subcapsular lenticular opacities"
"HP:0007936","HP:0000544","Restrictive external ophthalmoplegia"
"HP:0007937","HP:0007769","Reticular pigmentary degeneration"
"HP:0007937","HP:0011512","Reticular pigmentary degeneration"
"HP:0007939","HP:0011517","Blue cone monochromacy"
"HP:0007941","HP:0000496","Limited extraocular movements"
"HP:0007942","HP:0000602","Internal ophthalmoplegia"
"HP:0007943","HP:0000381","Congenital stapes ankylosis"
"HP:0007944","HP:0001152","Intermittent microsaccadic pursuits"
"HP:0007946","HP:0000581","Unilateral narrow palpebral fissure"
"HP:0007947","HP:0000510","Pericentral retinitis pigmentosa"
"HP:0007948","HP:0010924","Dense posterior cortical cataract"
"HP:0007950","HP:0000533","Peripapillary chorioretinal atrophy"
"HP:0007957","HP:0000481","Corneal opacity"
"HP:0007958","HP:0000648","Optic atrophy from cranial nerve compression"
"HP:0007958","HP:0001293","Optic atrophy from cranial nerve compression"
"HP:0007962","HP:0001131","Speckled corneal dystrophy"
"HP:0007963","HP:0000556","Pattern dystrophy of the retina"
"HP:0007964","HP:0007773","Degenerative vitreoretinopathy"
"HP:0007965","HP:0000649","Undetectable visual evoked potentials"
"HP:0007968","HP:0004327","Remnants of the hyaloid vascular system"
"HP:0007970","HP:0000508","Congenital ptosis"
"HP:0007971","HP:0010920","Lamellar cataract"
"HP:0007973","HP:0000479","Retinal dysplasia"
"HP:0007975","HP:0000571","Hypometric horizontal saccades"
"HP:0007976","HP:0007648","Cerulean cataract"
"HP:0007979","HP:0000640","Gaze-evoked horizontal nystagmus"
"HP:0007979","HP:0000666","Gaze-evoked horizontal nystagmus"
"HP:0007980","HP:0007894","Absent retinal pigment epithelium"
"HP:0007984","HP:0030478","Electronegative electroretinogram"
"HP:0007985","HP:0000630","Retinal arteriolar occlusion"
"HP:0007985","HP:0100545","Retinal arteriolar occlusion"
"HP:0007986","HP:0008046","Increased retinal vascularity"
"HP:0007987","HP:0001123","Progressive visual field defects"
"HP:0007988","HP:0008002","Macular hypopigmentation"
"HP:0007989","HP:0001147","Intraretinal exudate"
"HP:0007990","HP:0007676","Hypoplastic iris stroma"
"HP:0007992","HP:0007769","Lattice retinal degeneration"
"HP:0007993","HP:0011481","Malformed lacrimal duct"
"HP:0007994","HP:0001133","Peripheral visual field loss"
"HP:0008000","HP:0000481","Decreased corneal reflex"
"HP:0008001","HP:0030493","Foveal hyperpigmentation"
"HP:0008002","HP:0001103","Abnormality of macular pigmentation"
"HP:0008003","HP:0000617","Jerky ocular pursuit movements"
"HP:0008005","HP:0001131","Congenital corneal dystrophy"
"HP:0008007","HP:0001087","Primary congenital glaucoma"
"HP:0008009","HP:0008496","Three rows of eyelashes"
"HP:0008011","HP:0007759","Peripheral opacification of the cornea"
"HP:0008014","HP:0032416","Central fundal arteriolar microaneurysms"
"HP:0008019","HP:0001132","Superior lens subluxation"
"HP:0008020","HP:0000548","Cone dystrophy"
"HP:0008026","HP:0000666","Horizontal opticokinetic nystagmus"
"HP:0008028","HP:0000608","Cystoid macular degeneration"
"HP:0008030","HP:0000630","Retinal arteritis"
"HP:0008030","HP:0012089","Retinal arteritis"
"HP:0008030","HP:0025188","Retinal arteritis"
"HP:0008031","HP:0010695","Posterior Y-sutural cataract"
"HP:0008034","HP:0000525","Abnormal iris pigmentation"
"HP:0008035","HP:0000546","Retinitis pigmentosa inversa"
"HP:0008037","HP:0000593","Absent anterior chamber of the eye"
"HP:0008038","HP:0011482","Aplastic/hypoplastic lacrimal glands"
"HP:0008039","HP:0007727","Subepithelial corneal opacities"
"HP:0008041","HP:0001087","Late onset congenital glaucoma"
"HP:0008043","HP:0000630","Retinal arteriolar constriction"
"HP:0008045","HP:0030462","Enlarged flash visual evoked potentials"
"HP:0008046","HP:0000479","Abnormal retinal vascular morphology"
"HP:0008046","HP:0008047","Abnormal retinal vascular morphology"
"HP:0008047","HP:0002597","Abnormality of the vasculature of the eye"
"HP:0008047","HP:0012372","Abnormality of the vasculature of the eye"
"HP:0008048","HP:0000481","Abnormality of the line of Schwalbe"
"HP:0008049","HP:0011805","Abnormality of the extraocular muscles"
"HP:0008049","HP:0030669","Abnormality of the extraocular muscles"
"HP:0008050","HP:0000492","Abnormality of the palpebral fissures"
"HP:0008052","HP:0000479","Retinal fold"
"HP:0008053","HP:0000525","Aplasia/Hypoplasia of the iris"
"HP:0008053","HP:0008055","Aplasia/Hypoplasia of the iris"
"HP:0008053","HP:0008062","Aplasia/Hypoplasia of the iris"
"HP:0008054","HP:0000502","Abnormal morphology of the conjunctival vasculature"
"HP:0008054","HP:0008047","Abnormal morphology of the conjunctival vasculature"
"HP:0008055","HP:0000553","Aplasia/Hypoplasia affecting the uvea"
"HP:0008055","HP:0008056","Aplasia/Hypoplasia affecting the uvea"
"HP:0008056","HP:0012372","Aplasia/Hypoplasia affecting the eye"
"HP:0008057","HP:0001098","Aplasia/Hypoplasia affecting the fundus"
"HP:0008057","HP:0008056","Aplasia/Hypoplasia affecting the fundus"
"HP:0008058","HP:0000587","Aplasia/Hypoplasia of the optic nerve"
"HP:0008058","HP:0008057","Aplasia/Hypoplasia of the optic nerve"
"HP:0008059","HP:0001103","Aplasia/Hypoplasia of the macula"
"HP:0008059","HP:0008061","Aplasia/Hypoplasia of the macula"
"HP:0008060","HP:0000493","Aplasia/Hypoplasia of the fovea"
"HP:0008060","HP:0008059","Aplasia/Hypoplasia of the fovea"
"HP:0008061","HP:0000479","Aplasia/Hypoplasia of the retina"
"HP:0008061","HP:0008057","Aplasia/Hypoplasia of the retina"
"HP:0008062","HP:0007700","Aplasia/Hypoplasia affecting the anterior segment of the eye"
"HP:0008062","HP:0008056","Aplasia/Hypoplasia affecting the anterior segment of the eye"
"HP:0008063","HP:0000517","Aplasia/Hypoplasia of the lens"
"HP:0008063","HP:0008062","Aplasia/Hypoplasia of the lens"
"HP:0008064","HP:0011368","Ichthyosis"
"HP:0008065","HP:0011355","Aplasia/Hypoplasia of the skin"
"HP:0008066","HP:0011121","Abnormal blistering of the skin"
"HP:0008067","HP:0010647","Abnormally lax or hyperextensible skin"
"HP:0008069","HP:0000951","Neoplasm of the skin"
"HP:0008069","HP:0011793","Neoplasm of the skin"
"HP:0008070","HP:0011357","Sparse hair"
"HP:0008071","HP:0100603","Maternal hypertension"
"HP:0008072","HP:0002686","Maternal virilization in pregnancy"
"HP:0008073","HP:0011436","Low maternal serum estriol"
"HP:0008074","HP:0001832","Metatarsal periosteal thickening"
"HP:0008074","HP:0030313","Metatarsal periosteal thickening"
"HP:0008075","HP:0001761","Progressive pes cavus"
"HP:0008076","HP:0009132","Osteoporotic tarsals"
"HP:0008078","HP:0001832","Thin metatarsal cortices"
"HP:0008079","HP:0010744","Absent fifth metatarsal"
"HP:0008080","HP:0010051","Hallux varus"
"HP:0008081","HP:0001760","Pes valgus"
